Firm:,Viceroy,,,,Hindenberg,,,,Spruce Point,,,,Muddy Waters,,,,Scorpion,,,,Blue Orca,,,,Fuzzy Panda,,
,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published
,NASDAQ,MPW,2/6/2023,,NASDAQ,EBON,4/6/2021,,NYSE,AVY,11/10/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,2/7/2023,,NASDAQ,PCT,5/6/2021,,NYSE,NOVA,09/29/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,2/13/2023,,OTCMKTS,HMBL,5/20/2021,,NYSE,GFL,08/18/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,2/15/2023,,NASDAQ,DKNG,6/15/2021,,NYSE,PBH,06/30/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,2/16/2023,,NASDAQ,TGLS,12/9/2021,,NASDAQ,FSCT,05/13/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,2/18/2023,,NYSE,SLI,2/3/2022,,NASDAQ,ALGN,04/09/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,2/22/2023,,NASDAQ,NTRA,3/9/2022,,NYSE,AMCR,03/10/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,3/10/2023,,NYSE,JNJ,3/24/2022,,NASDAQ,DBX,02/06/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,6/21/2023,,NASDAQ,MULN,4/6/2022,,NASDAQ,LHCG,01/15/2020,,,,,,,,,,,,,,,,
,NASDAQ,MPW,9/6/2023,,NASDAQ,SGLY,5/5/2022,,NASDAQ,PLUG,12/19/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,9/26/2023,,NASDAQ,TWTR,5/9/2022,,TSE,CTC,12/05/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,4/2/2024,,NASDAQ,ENOB,6/1/2022,,NASDAQ,CTAS,11/13/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,4/16/2024,,NASDAQ,EBIX,6/16/2022,,NYSE,HRC,10/29/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,5/3/2024,,NASDAQ,ESTA,10/19/2022,,NASDAQ,MPWR,10/09/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,5/28/2024,,NYSE,WELL,12/7/2022,,NASDAQ,PINC,09/25/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,7/3/2024,,NYSE,SQ,3/23/2023,,NYSE,CHD,09/05/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,7/19/2024,,NYSE,SQ,3/21/2023,,NYSE,PEN,07/31/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,7/30/2024,,NASDAQ,IEP,5/2/2023,,NYSE,MTD,07/24/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,9/9/2024,,NASDAQ,IEP,5/11/2023,,NASDAQ,AAXN,06/19/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,10/11/2024,,NASDAQ,TIO,6/6/2023,,NASDAQ,VRNT,05/23/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,10/22/2024,,NASDAQ,FRHC,8/15/2023,,NYSE,AOS,05/16/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,10/25/2024,,NASDAQ,TIO,8/31/2023,,NASDAQ,KRNT,05/14/2019,,,,,,,,,,,,,,,,
,NASDAQ,MPW,1/30/2023,,NASDAQ,EH,11/7/2023,,NASDAQ,PETQ,04/30/2019,,,,,,,,,,,,,,,,
,JSE,CPI,5/21/2018,,NASDAQ,LFST,2/1/2024,,NYSE,AJRD,04/09/2019,,,,,,,,,,,,,,,,
,JSE,CPI,3/5/2018,,NASDAQ,RENB,2/13/2024,,NASDAQ,DXCM,03/21/2019,,,,,,,,,,,,,,,,
,JSE,CPI,2/20/2018,,SWX,TEMN,2/15/2024,,NASDAQ,IRBT,03/11/2019,,,,,,,,,,,,,,,,
,JSE,CPI,2/14/2018,,WSE,LPP,3/14/2024,,NYSE,CVNA,03/01/2019,,,,,,,,,,,,,,,,
,JSE,CPI,2/5/2018,,NASDAQ,EQIX,3/20/2024,,NASDAQ,DOX,01/23/2019,,,,,,,,,,,,,,,,
,JSE,CPI,1/30/2018,,SWX,TEMN,4/18/2024,,NYSE,XPO,12/13/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,7/1/2019,,NYSE,AX,6/4/2024,,TSX,DOL,10/31/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,5/6/2019,,NASDAQ,SMCI,8/27/2024,,NASDAQ,MRCY,10/17/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,1/7/2019,,NASDAQ,AILE,8/29/2024,,NYSE,WMK,09/05/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,12/15/2018,,NYSE,RBLX,10/8/2024,,NYSE,MAXR,08/07/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,12/13/2018,,NYSE,PACS,11/4/2024,,NASDAQ,TWOU,07/19/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,12/11/2018,,NASDAQ,SEZL,12/18/2024,,NASDAQ,MOMO,06/27/2018,,,,,,,,,,,,,,,,
,NASDAQ,EBIX,12/3/2018,,NYSE,CVNA,1/2/2025,,NYSE,HTA,06/07/2018,,,,,,,,,,,,,,,,
,NYSE,GL,3/3/2025,,,,,,NASDAQ,USCR,05/17/2018,,,,,,,,,,,,,,,,
,NYSE,GL,12/9/2024,,,,,,NASDAQ,KTOS,05/15/2018,,,,,,,,,,,,,,,,
,NYSE,GL,8/12/2024,,,,,,NYSE,GLOB,04/04/2018,,,,,,,,,,,,,,,,
,NYSE,GL,8/6/2024,,,,,,NYSE,O,02/07/2018,,,,,,,,,,,,,,,,
,NYSE,GL,7/31/2024,,,,,,NASDAQ,BLDP,01/25/2018,,,,,,,,,,,,,,,,
,NYSE,GL,7/11/2024,,,,,,NASDAQ,MATW,01/11/2018,,,,,,,,,,,,,,,,
,NYSE,GL,6/14/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,6/7/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,5/23/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,5/23/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,5/13/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,5/10/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,5/1/2024,,,,,,,,,,,,,,,,,,,,,,,,
,NYSE,GL,4/30/2024,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,10/22/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,10/20/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,10/6/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,9/30/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,9/24/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,9/21/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,9/18/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,9/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,GLJ,9/15/2020,,,,,,,,,,,,,,,,,,,,,,,,
,LSE,HOME,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,
,LSE,HOME,11/23/2022,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,6/17/2019,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/30/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,5/11/2018,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,12/11/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,12/14/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,11/16/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/20/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,2/22/2018,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,9/26/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/27/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/15/2018,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,6/8/2018,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/10/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/3/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,9/20/2020,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,11/30/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,12/13/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/4/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/31/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,6/25/2018,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/5/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,11/8/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/2/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,11/21/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/13/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,12/28/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,MDXG,10/26/2017,,,,,,,,,,,,,,,,,,,,,,,,
,JSE,NEPI,12/6/2018,,,,,,,,,,,,,,,,,,,,,,,,
,JSE,NEPI,11/28/2018,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,NDRM,9/6/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,NDRM,8/30/2017,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,TEUM,7/17/2019,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,TEUM,7/2/2019,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,TEUM,6/28/2019,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,TEUM,6/27/2019,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,TEUM,6/26/2019,,,,,,,,,,,,,,,,,,,,,,,,
,TSE/NYSE,PVG,1/10/2019,,,,,,,,,,,,,,,,,,,,,,,,
,TSE/NYSE,PVG,9/18/2018,,,,,,,,,,,,,,,,,,,,,,,,
,TSE/NYSE,PVG,9/11/2018,,,,,,,,,,,,,,,,,,,,,,,,
,TSE/NYSE,PVG,9/6/2018,,,,,,,,,,,,,,,,,,,,,,,,
,ETR,PSM,3/6/2018,,,,,,,,,,,,,,,,,,,,,,,,
,ASXL,QIN,5/14/2017,,,,,,,,,,,,,,,,,,,,,,,,
,TSXV,RECO,9/6/2021,,,,,,,,,,,,,,,,,,,,,,,,
,TSXV,RECO,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,
,TSXV,RECO,7/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
,TSXV,RECO,6/30/2021,,,,,,,,,,,,,,,,,,,,,,,,
,TSXV,RECO,6/29/2021,,,,,,,,,,,,,,,,,,,,,,,,
,TSXV,RECO,6/24/2021,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SBBB,3/23/2022,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SBBB,3/22/2022,,,,,,,,,,,,,,,,,,,,,,,,
