Exchange,Ticker,Publish_Date,Market_Cap,Publish_Date_Open,Publish_Date_Close,Next_Day_Open,Next_Day_Close,One_Week_Open,One_Week_Close,One_Month_Open,One_Month_Close,Three_Month_Open,Three_Month_Close,Six_Month_Open,Six_Month_Close
NYSE,PWSC,04/17/2024,None,19.01,17.79,17.5,17.43,17.67,17.57,19.11,19.71,22.48,22.48,None,None
TSX,WSP,04/03/2024,19682677405.05,150.44,150.79,150.8,152.82,152.27,153.05,156.31,155.0,154.64,154.77,171.97,174.4
NYSE,ENFN,03/14/2024,None,8.92,9.26,9.16,9.3,9.23,9.28,9.56,9.16,8.73,8.56,8.23,8.14
NASDAQ,Z,03/05/2024,10133219267.19,56.05,54.49,55.03,56.21,57.29,56.55,47.19,46.82,41.16,41.71,54.87,54.01
NYSE,MSCI,01/17/2024,40768588981.49,520.93,526.96,539.88,535.09,555.98,546.84,562.9,558.48,503.93,504.16,492.93,494.05
NYSE,ELF,11/09/2023,5642285930.21,97.62,99.45,98.98,95.09,110.16,111.88,127.94,128.61,171.16,164.82,161.84,163.61
NYSE,ROL,10/04/2023,16977576533.93,34.28,35.03,35.07,34.93,35.74,35.38,37.05,37.14,42.6,42.32,45.44,44.88
NYSE,IOT,09/21/2023,8212927480.83,24.33,23.55,23.6,23.13,24.71,25.0,22.57,23.15,33.55,33.12,36.22,36.8
NYSE,XYL,08/09/2023,24256015342.46,99.54,99.65,99.82,99.76,98.16,97.4,93.44,93.03,93.6,94.54,110.76,111.82
NYSE,HIMS,07/13/2023,1982718162.66,8.54,9.11,9.08,8.86,8.84,8.35,7.16,7.12,6.43,6.37,8.68,8.54
NASDAQ,PERI,05/23/2023,1364626519.64,29.95,30.3,29.97,30.91,30.71,30.08,33.1,32.63,33.26,33.62,28.5,28.65
NYSE,DV,05/02/2023,4453964364.03,28.0,27.22,27.32,26.59,27.0,27.05,34.44,34.75,42.0,42.1,26.77,26.87
TSX/NASDAQ,NVEI,04/18/2023,None,39.86,42.13,41.64,42.16,41.41,40.03,33.29,32.51,34.02,35.27,15.24,15.66
NYSE,WTRG,03/08/2023,10954795254.51,37.46,39.06,39.14,38.45,39.02,39.83,41.07,41.21,37.93,37.93,34.05,33.59
NYSE,AI,02/17/2023,3202896963.86,23.57,23.84,24.04,21.63,22.23,22.41,21.4,21.58,27.4,26.82,31.68,31.69
NYSE,PGNY,02/07/2023,2752296767.77,32.5,32.01,32.32,32.55,31.99,33.14,34.38,32.41,34.53,34.85,41.45,41.0
NASDAQ,SMCI,01/10/2023,4657319851.32,8.1,7.84,7.83,7.56,8.06,8.48,8.69,8.7,10.0,10.65,26.2,26.99
TSX,SAP,11/29/2022,8989397714.86,22.99,21.81,21.8,22.58,22.39,22.67,22.81,22.85,25.1,24.89,23.98,24.2
NASDAQ,WDFC,10/18/2022,2265093364.11,166.93,167.36,167.5,163.5,142.73,149.04,164.69,164.8,168.77,167.97,176.3,180.13
NASDAQ,MGPI,10/12/2022,1994600846.15,95.15,93.68,92.89,100.29,99.55,99.55,113.11,110.88,100.16,101.39,93.36,94.67
NYSE,BR,09/28/2022,16518557396.05,139.72,141.52,141.17,139.63,142.25,143.12,137.86,141.53,128.46,129.41,135.64,135.34
NYSE,FIGS,09/07/2022,1738982938.25,10.53,11.22,11.03,11.43,11.26,10.71,8.65,8.56,8.09,7.6,6.74,6.31
NYSE,SKX,07/19/2022,4964769400.02,35.18,37.91,37.81,38.63,37.01,35.66,40.08,40.32,35.48,35.42,46.23,46.22
NYSE,GNRC,06/22/2022,12472747333.83,203.36,212.57,213.56,221.91,218.73,214.61,248.99,239.93,193.75,183.49,94.4,91.73
NYSE,AMR,05/17/2022,1923871302.37,138.6,147.38,148.99,144.99,156.57,160.24,142.69,138.93,138.53,143.31,145.84,155.3
NYSE,SYK,04/06/2022,98849922390.88,248.71,258.56,257.52,260.46,250.17,254.17,231.34,231.45,194.48,195.45,199.37,203.7
